TU_id	start	end	Direction	TU_genes	pathway_id	pathway_names
TU185E-591	1214769	1215131	+	G185E-5252	PWY0-42 ; FAO-PWY ; PWY0-1337 ; PWY-5971 ; P221-PWY ; PWY-5989;GLYCOLYSIS ; GLUCONEO-PWY;RIBOSYN2-PWY	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;glycolysis I (from glucose 6-phosphate);gluconeogenesis I;-;flavin biosynthesis I (bacteria and plants)
TU185E-6871	3700705	3701016	-	G185E-7587		-
TU185E-7239	3961800	3962324	-	G185E-7802		-
TU185E-7503	1733116	1733550	-	G185E-5720		-
TU185E-6122	2097348	2101648	+	G185E-6048 ; G185E-6047 ; G185E-6046 ; G185E-6045 ; G185E-6044 ; G185E-6043	PWY-5704	urea degradation II;-
TU185E-5526	795519	798372	+	G185E-4841 ; G185E-4840	PWY-8122	mycofactocin biosynthesis;-
TU185E-6490	2865130	2866341	+	G185E-6781		-
TU185E-5894	1550579	1552655	-	G185E-5561 ; G185E-5560		-
TU185E-6855	3660651	3661169	-	G185E-7552		-
TU185E-7223	4109783	4110481	-	G185E-7951		-
TU185E-7487	1952291	1952503	-	G185E-5920		-
TU185E-6106	2061178	2062674	-	G185E-6013		-
TU185E-5510	759807	763325	+	G185E-4810		-
TU185E-6474	2822438	2823259	+	G185E-6743		-
TU185E-5878	1513047	1517362	+	G185E-5529 ; G185E-5528		-
TU185E-6839	3621570	3623091	-	G185E-7517 ; G185E-7516		-
TU185E-7207	4217134	4218195	+	G185E-8067	HISTSYN-PWY	L-histidine biosynthesis
TU185E-7471	2079830	2080696	+	G185E-6029		-
TU185E-6090	2042001	2043272	+	G185E-5996		-
TU185E-5494	731930	733325	+	G185E-4779 ; G185E-4778 ; G185E-4777	PWY-5971 ; PWY-5989 ; PWY-6113 ; PWYG-321;PWY-6113 	mycolate biosynthesis;superpathway of mycolate biosynthesis;stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);mycolate biosynthesis;superpathway of mycolate biosynthesis
TU185E-6458	2776316	2782262	-	G185E-6711 ; G185E-6710 ; G185E-6709	GLUTAMATE-DEG1-PWY	L-glutamate degradation I;-
TU185E-5862	1471846	1473382	+	G185E-5491		-
TU185E-6823	3595713	3595967	+	G185E-7490		-
TU185E-7191	4338171	4338521	-	G185E-8160		-
TU185E-7455	2195989	2197353	+	G185E-6142		-
TU185E-6074	2007832	2009990	+	G185E-5971 ; G185E-5970		-
TU185E-5478	704752	705909	-	G185E-4747		-
TU185E-6442	2745767	2750225	-	G185E-6680 ; G185E-6679 ; G185E-6678	FOLSYN-PWY ; PWY-6612 ; PWY-6614 ; PWY-2161;TRNA-CHARGING-PWY	superpathway of tetrahydrofolate biosynthesis;folate polyglutamylation;tetrahydrofolate biosynthesis;superpathway of tetrahydrofolate biosynthesis and salvage;-;tRNA charging
TU185E-5846	1437909	1440751	+	G185E-5458 ; G185E-5457	SULFATE-CYS-PWY ; PWY-5345 ; SO4ASSIM-PWY ; PWY-5340 ; PWY-6932; PWY-5340	superpathway of sulfate assimilation and cysteine biosynthesis;sulfate activation for sulfonation;selenate reduction;assimilatory sulfate reduction I;superpathway of L-methionine biosynthesis (by sulfhydrylation);superpathway of sulfate assimilation and cysteine biosynthesis;sulfate activation for sulfonation;assimilatory sulfate reduction I;superpathway of L-methionine biosynthesis (by sulfhydrylation)
TU185E-6807	3557311	3558345	-	G185E-7457		-
TU185E-7175	4373726	4374372	-	G185E-8189 ; G185E-8188		-
TU185E-7439	2313125	2313838	+	G185E-6258		-
TU185E-6058	1977328	1977885	-	G185E-5944		-
TU185E-5462	668579	669745	-	G185E-4709		-
TU185E-6426	2719083	2719355	+	G185E-6652		-
TU185E-5830	1404717	1407340	-	G185E-5429 ; G185E-5428		-
TU185E-6791	3531208	3535351	-	G185E-7431 ; G185E-7430 ; G185E-7429 ; G185E-7428 ; G185E-7427		-
TU185E-7159	4330039	4336081	-	G185E-8157 ; G185E-8156	GLUTAMINDEG-PWY ; PWY490-4 ; PWY-5921	L-glutamine degradation I;glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation;L-asparagine biosynthesis III (tRNA-dependent)
TU185E-7423	2433631	2434536	-	G185E-6381		-
TU185E-6042	1947030	1947643	-	G185E-5914 ; G185E-5913		-
TU185E-5446	642889	646255	+	G185E-4687 ; G185E-4686 ; G185E-4685	PWY-5837	-
TU185E-6410	2683248	2684266	-	G185E-6616 ; G185E-6615		-
TU185E-5814	1367891	1368721	-	G185E-5396		-
TU185E-6775	3480074	3481289	+	G185E-7378 ; G185E-7377		-
TU185E-7143	4291639	4299605	-	G185E-8121 ; G185E-8120	PWY-7746	mycobacterial sulfolipid biosynthesis
TU185E-6026	1906403	1907320	+	G185E-5872		-
TU185E-5430	613038	614342	+	G185E-4654		-
TU185E-6394	2639673	2641064	-	G185E-6583	TRNA-CHARGING-PWY	tRNA charging
TU185E-5798	1334927	1337215	+	G185E-5362 ; G185E-5361	PWY0-42 ; P221-PWY ; PWY-5989 ; PWY-5971 ; PWY0-1337 ; FAO-PWY	stearate biosynthesis II (bacteria and plants);palmitate biosynthesis II (bacteria and plants);octane oxidation;2-methylcitrate cycle I;fatty acid &beta;-oxidation I;oleate &beta;-oxidation;-
TU185E-6759	3435798	3436685	-	G185E-7335 ; G185E-7334		-
TU185E-7127	4234780	4235265	+	G185E-8084		-
TU185E-6010	1852928	1853122	+	G185E-5832		-
TU185E-5414	579349	580581	+	G185E-4619		-
TU185E-6378	2610837	2611805	+	G185E-6561		-
TU185E-5782	1296152	1298059	+	G185E-5335		-
TU185E-6743	3408404	3411083	-	G185E-7310 ; G185E-7309	PWY-7210 ; PWY-7229 ; PWY-7227 ; PWY-6126 ; PWY-7220 ; PWY-7211 ; PWY-7184 ; PWY-6545 ; PWY0-166 ; PWY-7228 ; PWY-6125 ; PWY-7226 ; PWY-7222	pyrimidine deoxyribonucleotides biosynthesis from CTP;guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II;guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I;;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis;pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli);superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II;superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II;superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I;adenosine deoxyribonucleotides <i>de novo</i> biosynthesis;adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II;-
TU185E-7111	4205862	4206917	-	G185E-8052	PWY0-1337 ; FAO-PWY	fatty acid &beta;-oxidation I;oleate &beta;-oxidation
TU185E-5994	1806181	1807263	+	G185E-5795		-
TU185E-5398	559888	560748	+	G185E-4596		-
TU185E-6362	2581764	2582298	-	G185E-6532 ; G185E-6531	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging;-
TU185E-5766	1251617	1252972	-	G185E-5294		-
TU185E-6727	3378329	3378415	-	G185E-7277		-
TU185E-7095	4182934	4183992	+	G185E-8022		-
TU185E-5978	1774860	1775144	-	G185E-5755		-
TU185E-5382	534445	537169	-	G185E-4573 ; G185E-4572 ; G185E-4571	PWY0-541 ; PWY-6113 ; PWYG-321	-;mycolate biosynthesis;superpathway of mycolate biosynthesis;cyclopropane fatty acid (CFA) biosynthesis
TU185E-6346	2564029	2565032	-	G185E-6511 ; G185E-6510		-
TU185E-5750	1222997	1224298	+	G185E-5260		-
TU185E-6711	3339118	3339762	+	G185E-7238	PWY-5198	factor 420 biosynthesis
TU185E-7079	4156981	4158922	+	G185E-8000 ; G185E-7999	P381-PWY ; PWY-7962	adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide;adenosylcobalamin biosynthesis II (aerobic);-
TU185E-5244	187433	188839	-	G185E-4277		-
TU185E-5366	501148	503124	+	G185E-4542 ; G185E-4541 ; G185E-4540		-
TU185E-7711	124374	125570	+	G185E-4223		-
TU185E-6330	2534042	2535552	-	G185E-6479 ; G185E-6478		-
TU185E-5734	1201717	1203111	+	G185E-5239	PWY-I9	L-cysteine biosynthesis VI (from L-methionine)
TU185E-6695	3304441	3306535	+	G185E-7207 ; G185E-7206	PWY-7742 ; PWY-7741;PWY-7741 ; PWY-7742	phenolphthiocerol biosynthesis;phthiocerol biosynthesis
TU185E-7063	4126541	4126614	+	G185E-7969	PWY0-1479 ; TRNA-CHARGING-PWY	tRNA charging
TU185E-5228	155667	156446	+	G185E-4245		-
TU185E-5350	456915	458380	-	G185E-4506 ; G185E-4505	PWY-7211 ; PWY0-162 ; PWY-5686	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis;UMP biosynthesis I;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis;-
TU185E-7695	191984	193135	-	G185E-4280		-
TU185E-6314	2506278	2508452	+	G185E-6448 ; G185E-6447 ; G185E-6446		-
TU185E-5718	1177628	1178392	+	G185E-5218		-
TU185E-6682	3232871	3234139	-	G185E-7173		-
TU185E-7047	4094660	4097994	-	G185E-7940 ; G185E-7939 ; G185E-7938 ; G185E-7937 ; G185E-7936 ; G185E-7935		-
TU185E-5212	104805	105215	-	G185E-4212		-
TU185E-7415	2468231	2468923	+	G185E-6413		-
TU185E-5334	417304	419608	+	G185E-4473 ; G185E-4472 ; G185E-4471		-
TU185E-7679	309699	310073	+	G185E-4379		-
TU185E-6298	2470622	2471332	+	G185E-6416		-
TU185E-5702	1151920	1156422	+	G185E-5191 ; G185E-5190 ; G185E-5189 ; G185E-5188		-
TU185E-6666	3192373	3193158	-	G185E-7135	PWY0-162 ; PWY-7208 ; PWY-7211 ; PWY-7176	superpathway of pyrimidine nucleobases salvage;superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis;UTP and CTP <i>de novo</i> biosynthesis;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
TU185E-7031	4073634	4075409	+	G185E-7914		-
TU185E-5196	74629	75198	-	G185E-4182		-
TU185E-7399	2606708	2608321	-	G185E-6558		-
TU185E-5318	382490	382876	+	G185E-4436		-
TU185E-7663	400192	401703	+	G185E-4460		-
TU185E-6282	2437446	2437886	-	G185E-6385 ; G185E-6384		-
TU185E-5686	1114293	1116525	+	G185E-5157 ; G185E-5156 ; G185E-5155		-
TU185E-6650	3162268	3166584	+	G185E-7106 ; G185E-7105 ; G185E-7104	PWY1G-126	-
TU185E-7015	4040981	4041319	-	G185E-7876		-
TU185E-5180	47366	48100	-	G185E-4157		-
TU185E-7383	2740709	2742184	+	G185E-6675		-
TU185E-5302	336560	339073	-	G185E-4402		-
TU185E-7647	573046	573801	-	G185E-4612		-
TU185E-6266	2402193	2402722	-	G185E-6350 ; G185E-6349		-
TU185E-5670	1078743	1081684	+	G185E-5126 ; G185E-5125		-
TU185E-6634	3116818	3119036	+	G185E-7063 ; G185E-7062		-
TU185E-6999	4012417	4014041	+	G185E-7850 ; G185E-7849	PWY-6944 ; PWY-6947 ; PWY-6945 ; PWY-6946	;superpathway of cholesterol degradation II (cholesterol dehydrogenase);cholesterol degradation to androstenedione I (cholesterol oxidase);-
TU185E-5164	15590	23181	-	G185E-4131 ; G185E-4130 ; G185E-4129 ; G185E-4128 ; G185E-4127	PWY-6385 ; PWY0-1586;SULFATE-CYS-PWY ; SER-GLYSYN-PWY ; SERSYN-PWY;PWY0-1586 ; PWY-6385	;peptidoglycan maturation (<i>meso</i>-diaminopimelate containing);-;superpathway of sulfate assimilation and cysteine biosynthesis;superpathway of L-serine and glycine biosynthesis I;L-serine biosynthesis I
TU185E-7367	2900918	2902507	+	G185E-6819	PWY-6348	phosphate acquisition
TU185E-5286	296005	296493	+	G185E-4367		-
TU185E-7631	710584	710850	-	G185E-4753		-
TU185E-6250	2368983	2370792	-	G185E-6317 ; G185E-6316 ; G185E-6315		-
TU185E-5654	1053765	1055008	+	G185E-5100 ; G185E-5099		-
TU185E-6618	3090339	3092597	-	G185E-7032	PPGPPMET-PWY	ppGpp biosynthesis
TU185E-6983	3972552	3975296	-	G185E-7813 ; G185E-7812 ; G185E-7811	PWY-6947 ; PWY-6944;PWY0-1298 ; PWY0-1297 ; PWY-7180 ; ETOH-ACETYLCOA-ANA-PWY ; PWY-6947 	;superpathway of cholesterol degradation II (cholesterol dehydrogenase);superpathway of purine deoxyribonucleosides degradation;2'-deoxy-&alpha;-D-ribose 1-phosphate degradation;superpathway of pyrimidine deoxyribonucleosides degradation;;superpathway of cholesterol degradation II (cholesterol dehydrogenase);ethanol degradation I
TU185E-7351	3020573	3021547	+	G185E-6955		-
TU185E-5270	260924	264023	+	G185E-4340 ; G185E-4339 ; G185E-4338		-
TU185E-5267	249038	251598	+	G185E-4330 ; G185E-4329		-
TU185E-7612	918264	918458	+	G185E-4974		-
TU185E-6231	2333037	2334594	-	G185E-6283 ; G185E-6282 ; G185E-6281		-
TU185E-5635	1014681	1015300	+	G185E-5064 ; G185E-5063		-
TU185E-6599	3058193	3058531	-	G185E-6994		-
TU185E-6964	3902150	3902812	-	G185E-7760		-
TU185E-7332	3200794	3202020	-	G185E-7144		-
TU185E-5251	210892	214140	-	G185E-4300 ; G185E-4299 ; G185E-4298		-
TU185E-7596	976075	976863	+	G185E-5031		-
TU185E-6215	2281294	2282740	+	G185E-6239 ; G185E-6238 ; G185E-6237		-
TU185E-5619	978481	978756	-	G185E-5033		-
TU185E-6583	3029172	3029858	+	G185E-6964		-
TU185E-6948	3876052	3876822	-	G185E-7732		-
TU185E-7316	3364709	3365830	+	G185E-7264		-
TU185E-7580	1117185	1118393	+	G185E-5159	ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)
TU185E-6199	2247660	2248442	+	G185E-6204		-
TU185E-5603	935577	936389	+	G185E-4993		-
TU185E-6567	3003280	3005650	-	G185E-6936 ; G185E-6935 ; G185E-6934		-
TU185E-5970	1747195	1747626	+	G185E-5734		-
TU185E-6932	3844738	3845970	-	G185E-7705		-
TU185E-7300	3492147	3493181	+	G185E-7391		-
TU185E-7564	1246144	1247052	-	G185E-5289		-
TU185E-6183	2227908	2228561	-	G185E-6184		-
TU185E-5587	912726	913502	+	G185E-4969		-
TU185E-6551	2975928	2976909	-	G185E-6901 ; G185E-6900		-
TU185E-5954	1710733	1712068	+	G185E-5708 ; G185E-5707		-
TU185E-6916	3816129	3817175	+	G185E-7676		-
TU185E-7284	3585004	3585690	+	G185E-7478		-
TU185E-7548	1337248	1338513	-	G185E-5363		-
TU185E-6167	2194644	2195934	-	G185E-6141 ; G185E-6140 ; G185E-6139		-
TU185E-5571	882524	883434	+	G185E-4937 ; G185E-4936	PWY-6277 ; PWY-6121 ; PWY-6122	superpathway of 5-aminoimidazole ribonucleotide biosynthesis;5-aminoimidazole ribonucleotide biosynthesis II;5-aminoimidazole ribonucleotide biosynthesis I;-
TU185E-6535	2959335	2959820	-	G185E-6877	DETOX1-PWY-1 ; DETOX1-PWY	reactive oxygen species degradation;superoxide radicals degradation
TU185E-5938	1679322	1680629	+	G185E-5675		-
TU185E-6900	3777737	3778201	+	G185E-7642		-
TU185E-7268	3719937	3720782	-	G185E-7609		-
TU185E-7532	1445058	1445372	+	G185E-5463		-
TU185E-6151	2150364	2150768	+	G185E-6100		-
TU185E-5555	850342	850527	-	G185E-4902		-
TU185E-6519	2930070	2930784	+	G185E-6845 ; G185E-6844		-
TU185E-5922	1630638	1634627	-	G185E-5633		-
