Locus	Name	Product	type	start	end	strand	snpEff_locus_id
Rv0123	Rv0123	Unknown protein	CDS	148856	149224	+	CDS_NC_000962.3_148856_149224
Rv0124	PE_PGRS2	PE-PGRS family protein PE_PGRS2	CDS	149533	150996	+	CDS_NC_000962.3_149533_150996
Rv0240	vapC24	Possible toxin VapC24. Contains PIN domain.	CDS	289345	289782	+	CDS_NC_000962.3_289345_289782
Rv0582	vapC26	Possible toxin VapC26. Contains PIN domain.	CDS	677922	678329	+	CDS_NC_000962.3_677922_678329
Rv0127	mak	Maltokinase Mak	CDS	154232	155599	+	CDS_NC_000962.3_154232_155599
Rv0128	Rv0128	Probable conserved transmembrane protein	CDS	155667	156446	+	CDS_NC_000962.3_155667_156446
Rv0177	Rv0177	Probable conserved Mce associated protein	CDS	208417	208971	+	CDS_NC_000962.3_208417_208971
Rv0215c	fadE3	Probable acyl-CoA dehydrogenase FadE3	CDS	257783	258856	-	CDS_NC_000962.3_257783_258856
Rv0397	Rv0397	Conserved 13E12 repeat family protein	CDS	475816	476184	+	CDS_NC_000962.3_475816_476184
Rv2016	Rv2016	Hypothetical protein	CDS	2263426	2264001	+	CDS_NC_000962.3_2263426_2264001
Rv0132c	fgd2	Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2	CDS	159700	160782	-	CDS_NC_000962.3_159700_160782
Rv0133	Rv0133	GCN5-related N-acetyltransferase	CDS	160869	161474	+	CDS_NC_000962.3_160869_161474
Rv0134	ephF	Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)	CDS	161771	162673	+	CDS_NC_000962.3_161771_162673
Rv0167	yrbE1A	Conserved integral membrane protein YrbE1A	CDS	196861	197658	+	CDS_NC_000962.3_196861_197658
Rv0201c	Rv0201c	Conserved protein	CDS	237892	238395	-	CDS_NC_000962.3_237892_238395
Rv2517c	Rv2517c	Unknown protein	CDS	2833510	2833761	-	CDS_NC_000962.3_2833510_2833761
Rv0139	Rv0139	Possible oxidoreductase	CDS	165827	166849	+	CDS_NC_000962.3_165827_166849
Rv0144	Rv0144	Probable transcriptional regulatory protein (possibly TetR-family)	CDS	170284	171126	+	CDS_NC_000962.3_170284_171126
Rv0146	Rv0146	Possible S-adenosylmethionine-dependent methyltransferase	CDS	172211	173143	+	CDS_NC_000962.3_172211_173143
Rv0192A	Rv0192A	Conserved secreted protein	CDS	223607	223909	+	CDS_NC_000962.3_223607_223909
Rv0921	Rv0921	Possible resolvase	CDS	1027104	1027685	+	CDS_NC_000962.3_1027104_1027685
Rv0148	Rv0148	Probable short-chain type dehydrogenase/reductase	CDS	174833	175693	+	CDS_NC_000962.3_174833_175693
Rv0149	Rv0149	Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)	CDS	175700	176668	+	CDS_NC_000962.3_175700_176668
Rv0150c	Rv0150c	Conserved hypothetical protein	CDS	176665	176952	-	CDS_NC_000962.3_176665_176952
Rv0179c	lprO	Possible lipoprotein LprO	CDS	209703	210812	-	CDS_NC_000962.3_209703_210812
Rv0184	Rv0184	Conserved hypothetical protein	CDS	214969	215718	+	CDS_NC_000962.3_214969_215718
Rv0354c	PPE7	PPE family protein PPE7	CDS	424269	424694	-	CDS_NC_000962.3_424269_424694
Rv0154c	fadE2	Probable acyl-CoA dehydrogenase FadE2	CDS	181987	183198	-	CDS_NC_000962.3_181987_183198
Rv0155	pntAa	Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part	CDS	183622	184722	+	CDS_NC_000962.3_183622_184722
Rv0180c	Rv0180c	Probable conserved transmembrane protein	CDS	210892	212250	-	CDS_NC_000962.3_210892_212250
Rv0193c	Rv0193c	Hypothetical protein	CDS	224724	226571	-	CDS_NC_000962.3_224724_226571
Rv0209	Rv0209	Hypothetical protein	CDS	249038	250123	+	CDS_NC_000962.3_249038_250123
Rv1419	Rv1419	Unknown protein	CDS	1593505	1593978	+	CDS_NC_000962.3_1593505_1593978
Rv0156	pntAb	Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part	CDS	184723	185055	+	CDS_NC_000962.3_184723_185055
Rv0158	Rv0158	Probable transcriptional regulatory protein (possibly TetR-family)	CDS	186785	187429	+	CDS_NC_000962.3_186785_187429
Rv0159c	PE3	PE family protein PE3	CDS	187433	188839	-	CDS_NC_000962.3_187433_188839
Rv0160c	PE4	PE family protein PE4	CDS	188931	190439	-	CDS_NC_000962.3_188931_190439
Rv0181c	Rv0181c	Conserved hypothetical protein	CDS	212277	213011	-	CDS_NC_000962.3_212277_213011
Rv0219	Rv0219	Probable conserved transmembrane protein	CDS	262254	262802	+	CDS_NC_000962.3_262254_262802
Rv0461	Rv0461	Probable transmembrane protein	CDS	552026	552550	+	CDS_NC_000962.3_552026_552550
Rv0162c	adhE1	Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1	CDS	191984	193135	-	CDS_NC_000962.3_191984_193135
Rv0163	Rv0163	Conserved protein	CDS	193117	193572	+	CDS_NC_000962.3_193117_193572
Rv0164	TB18.5	Conserved protein TB18.5	CDS	193626	194111	+	CDS_NC_000962.3_193626_194111
Rv0165c	mce1R	Probable transcriptional regulatory protein Mce1R (probably GntR-family)	CDS	194144	194815	-	CDS_NC_000962.3_194144_194815
Rv0168	yrbE1B	Conserved integral membrane protein YrbE1B	CDS	197660	198529	+	CDS_NC_000962.3_197660_198529
Rv0396	Rv0396	Hypothetical protein	CDS	475350	475742	+	CDS_NC_000962.3_475350_475742
Rv0610c	Rv0610c	Hypothetical protein	CDS	704752	705909	-	CDS_NC_000962.3_704752_705909
Rv1632c	Rv1632c	Hypothetical protein	CDS	1836387	1836830	-	CDS_NC_000962.3_1836387_1836830
Rv0170	mce1B	Mce-family protein Mce1B	CDS	199895	200935	+	CDS_NC_000962.3_199895_200935
Rv0182c	sigG	Probable alternative RNA polymerase sigma factor SigG (RNA polymerase ECF type sigma factor)	CDS	213028	214140	-	CDS_NC_000962.3_213028_214140
Rv0313	Rv0313	Conserved protein	CDS	382490	382876	+	CDS_NC_000962.3_382490_382876
Rv0360c	Rv0360c	Conserved protein	CDS	438302	438739	-	CDS_NC_000962.3_438302_438739
Rv0887c	Rv0887c	Conserved hypothetical protein	CDS	985513	985971	-	CDS_NC_000962.3_985513_985971
Rv0172	mce1D	Mce-family protein Mce1D	CDS	202476	204068	+	CDS_NC_000962.3_202476_204068
Rv0173	lprK	Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)	CDS	204065	205237	+	CDS_NC_000962.3_204065_205237
Rv0176	Rv0176	Probable conserved Mce associated transmembrane protein	CDS	207452	208420	+	CDS_NC_000962.3_207452_208420
Rv0183	Rv0183	Possible lysophospholipase	CDS	214088	214927	+	CDS_NC_000962.3_214088_214927
Rv0188	Rv0188	Probable conserved transmembrane protein	CDS	219486	219917	+	CDS_NC_000962.3_219486_219917
Rv0236A	Rv0236A	Small secreted protein	CDS	286898	287071	-	CDS_NC_000962.3_286898_287071
Rv0175	Rv0175	Probable conserved Mce associated membrane protein	CDS	206814	207455	+	CDS_NC_000962.3_206814_207455
Rv0186	bglS	Probable beta-glucosidase BglS (gentiobiase) (cellobiase) (beta-D-glucoside glucohydrolase)	CDS	216269	218344	+	CDS_NC_000962.3_216269_218344
Rv0186A	mymT	Metallothionein, MymT	CDS	218390	218551	-	CDS_NC_000962.3_218390_218551
Rv0187	Rv0187	Probable O-methyltransferase	CDS	218705	219367	+	CDS_NC_000962.3_218705_219367
Rv0222	echA1	Probable enoyl-CoA hydratase EchA1 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)	CDS	265507	266295	+	CDS_NC_000962.3_265507_266295
Rv0272c	Rv0272c	Unknown protein	CDS	328575	329708	-	CDS_NC_000962.3_328575_329708
Rv0314c	Rv0314c	Possible conserved membrane protein	CDS	382879	383541	-	CDS_NC_000962.3_382879_383541
Rv0611c	Rv0611c	Hypothetical protein	CDS	705961	706344	-	CDS_NC_000962.3_705961_706344
Rv0190	Rv0190	Conserved protein	CDS	221871	222161	+	CDS_NC_000962.3_221871_222161
Rv0191	Rv0191	Probable conserved integral membrane protein	CDS	222289	223530	+	CDS_NC_000962.3_222289_223530
Rv0192	Rv0192	Conserved hypothetical protein	CDS	223564	224664	+	CDS_NC_000962.3_223564_224664
Rv0194	Rv0194	Probable transmembrane multidrug efflux pump	CDS	226878	230462	+	CDS_NC_000962.3_226878_230462
Rv0968	Rv0968	Conserved protein	CDS	1078391	1078687	+	CDS_NC_000962.3_1078391_1078687
Rv3424c	Rv3424c	Hypothetical protein	CDS	3841714	3842076	-	CDS_NC_000962.3_3841714_3842076
Rv0196	Rv0196	Possible transcriptional regulatory protein	CDS	231647	232231	+	CDS_NC_000962.3_231647_232231
Rv0198c	zmp1	Probable zinc metalloprotease Zmp1	CDS	234516	236507	-	CDS_NC_000962.3_234516_236507
Rv0199	Rv0199	Probable conserved membrane protein	CDS	236550	237209	+	CDS_NC_000962.3_236550_237209
Rv0208c	Rv0208c	Hypothetical methlytransferase (methylase)	CDS	248115	248906	-	CDS_NC_000962.3_248115_248906
Rv0213c	Rv0213c	Possible methyltransferase (methylase)	CDS	254637	255950	-	CDS_NC_000962.3_254637_255950
Rv1961	Rv1961	Hypothetical protein	CDS	2204212	2204706	+	CDS_NC_000962.3_2204212_2204706
Rv0203	Rv0203	Possible exported protein	CDS	241514	241924	+	CDS_NC_000962.3_241514_241924
Rv0204c	Rv0204c	Probable conserved transmembrane protein	CDS	241976	243214	-	CDS_NC_000962.3_241976_243214
Rv0205	Rv0205	Probable conserved transmembrane protein	CDS	243384	244487	+	CDS_NC_000962.3_243384_244487
Rv0206c	mmpL3	Possible conserved transmembrane transport protein MmpL3	CDS	244484	247318	-	CDS_NC_000962.3_244484_247318
Rv0207c	Rv0207c	Conserved hypothetical protein	CDS	247384	248112	-	CDS_NC_000962.3_247384_248112
Rv0901	Rv0901	Possible conserved exported or membrane protein	CDS	1003957	1004484	+	CDS_NC_000962.3_1003957_1004484
Rv2886c	Rv2886c	Probable resolvase	CDS	3195545	3196432	-	CDS_NC_000962.3_3195545_3196432
Rv0212c	nadR	Possible transcriptional regulatory protein NadR (probably AsnC-family)	CDS	253669	254640	-	CDS_NC_000962.3_253669_254640
Rv0216	Rv0216	Double hotdog hydratase	CDS	258913	259926	+	CDS_NC_000962.3_258913_259926
Rv0217c	lipW	Possible esterase LipW	CDS	259923	260831	-	CDS_NC_000962.3_259923_260831
Rv0218	Rv0218	Probable conserved transmembrane protein	CDS	260924	262252	+	CDS_NC_000962.3_260924_262252
Rv0320	Rv0320	Possible conserved exported protein	CDS	387888	388550	+	CDS_NC_000962.3_387888_388550
Rv0221	Rv0221	Possible triacylglycerol synthase (diacylglycerol acyltransferase)	CDS	264067	265476	+	CDS_NC_000962.3_264067_265476
Rv0224c	Rv0224c	Possible methyltransferase (methylase)	CDS	267863	268627	-	CDS_NC_000962.3_267863_268627
Rv0225	Rv0225	Possible conserved protein	CDS	268663	269817	+	CDS_NC_000962.3_268663_269817
Rv0246	Rv0246	Probable conserved integral membrane protein	CDS	296809	298119	+	CDS_NC_000962.3_296809_298119
Rv0286	PPE4	PPE family protein PPE4	CDS	349935	351476	+	CDS_NC_000962.3_349935_351476
Rv0463	Rv0463	Probable conserved membrane protein	CDS	554016	554309	+	CDS_NC_000962.3_554016_554309
Rv0227c	Rv0227c	Probable conserved membrane protein	CDS	271574	272839	-	CDS_NC_000962.3_271574_272839
Rv0228	Rv0228	Probable integral membrane acyltransferase	CDS	273055	274278	+	CDS_NC_000962.3_273055_274278
Rv0229c	Rv0229c	Possible conserved membrane protein with PIN domain	CDS	274306	274986	-	CDS_NC_000962.3_274306_274986
Rv0230c	php	Probable phosphotriesterase Php (parathion hydrolase) (PTE) (aryldialkylphosphatase) (paraoxonase) (a-esterase) (aryltriphosphatase) (paraoxon hydrolase)	CDS	274983	275963	-	CDS_NC_000962.3_274983_275963
Rv0239	vapB24	Possible antitoxin VapB24	CDS	289104	289337	+	CDS_NC_000962.3_289104_289337
Rv0401	Rv0401	Probable conserved transmembrane protein	CDS	479789	480160	+	CDS_NC_000962.3_479789_480160
Rv1116A	Rv1116A	Conserved hypothetical protein (fragment)	CDS	1241115	1241390	-	CDS_NC_000962.3_1241115_1241390
Rv0232	Rv0232	Probable transcriptional regulatory protein (probably TetR/AcrR-family)	CDS	277899	278588	+	CDS_NC_000962.3_277899_278588
Rv0233	nrdB	Ribonucleoside-diphosphate reductase (beta chain) NrdB (ribonucleotide reductase small chain)	CDS	278585	279529	+	CDS_NC_000962.3_278585_279529
Rv0235c	Rv0235c	Probable conserved transmembrane protein	CDS	281166	282614	-	CDS_NC_000962.3_281166_282614
Rv0236c	aftD	Possible arabinofuranosyltransferase AftD	CDS	282649	286851	-	CDS_NC_000962.3_282649_286851
Rv0253	nirD	Probable nitrite reductase [NAD(P)H] small subunit NirD	CDS	305453	305809	+	CDS_NC_000962.3_305453_305809
Rv0238	Rv0238	Possible transcriptional regulatory protein (probably TetR-family)	CDS	288428	289042	+	CDS_NC_000962.3_288428_289042
Rv0241c	htdX	Probable 3-hydroxyacyl-thioester dehydratase HtdX	CDS	289812	290654	-	CDS_NC_000962.3_289812_290654
Rv0252	nirB	Probable nitrite reductase [NAD(P)H] large subunit [FAD flavoprotein] NirB	CDS	302866	305427	+	CDS_NC_000962.3_302866_305427
Rv0259c	Rv0259c	Conserved hypothetical protein	CDS	310774	311517	-	CDS_NC_000962.3_310774_311517
Rv0280	PPE3	PPE family protein PPE3	CDS	339364	340974	+	CDS_NC_000962.3_339364_340974
Rv0287	esxG	ESAT-6 like protein EsxG (conserved protein TB9.8)	CDS	351525	351818	+	CDS_NC_000962.3_351525_351818
Rv2269c	Rv2269c	Hypothetical protein	CDS	2544289	2544621	-	CDS_NC_000962.3_2544289_2544621
Rv0243	fadA2	Probable acetyl-CoA acyltransferase FadA2 (3-ketoacyl-CoA thiolase) (beta-ketothiolase)	CDS	292171	293493	+	CDS_NC_000962.3_292171_293493
Rv0254c	cobU	Probable bifunctional cobalamin biosynthesis protein CobU: cobinamide kinase + cobinamide phosphate guanylyltransferase	CDS	305825	306349	-	CDS_NC_000962.3_305825_306349
Rv1156	Rv1156	Conserved protein	CDS	1282306	1282893	+	CDS_NC_000962.3_1282306_1282893
Rv0248c	Rv0248c	Probable succinate dehydrogenase [iron-sulfur subunit] (succinic dehydrogenase)	CDS	298863	300803	-	CDS_NC_000962.3_298863_300803
Rv0249c	Rv0249c	Probable succinate dehydrogenase [membrane anchor subunit] (succinic dehydrogenase)	CDS	300834	301655	-	CDS_NC_000962.3_300834_301655
Rv0250c	Rv0250c	Conserved protein	CDS	301735	302028	-	CDS_NC_000962.3_301735_302028
Rv0251c	hsp	Heat shock protein Hsp (heat-stress-induced ribosome-binding protein A)	CDS	302173	302652	-	CDS_NC_000962.3_302173_302652
Rv2028c	Rv2028c	Universal stress protein family protein	CDS	2274569	2275408	-	CDS_NC_000962.3_2274569_2275408
Rv1573	Rv1573	Probable PhiRv1 phage protein	CDS	1779314	1779724	+	CDS_NC_000962.3_1779314_1779724
Rv0256c	PPE2	PPE family protein PPE2	CDS	307877	309547	-	CDS_NC_000962.3_307877_309547
Rv0257	Rv0257	Conserved hypothetical protein	CDS	309699	310073	+	CDS_NC_000962.3_309699_310073
Rv0258c	Rv0258c	Conserved hypothetical protein	CDS	310294	310749	-	CDS_NC_000962.3_310294_310749
Rv0260c	Rv0260c	Possible transcriptional regulatory protein	CDS	311514	312659	-	CDS_NC_000962.3_311514_312659
Rv0295c	Rv0295c	Conserved protein	CDS	358945	359748	-	CDS_NC_000962.3_358945_359748
Rv0262c	aac	Aminoglycoside 2'-N-acetyltransferase Aac (Aac(2')-IC)	CDS	314309	314854	-	CDS_NC_000962.3_314309_314854
Rv0263c	Rv0263c	Conserved hypothetical protein	CDS	314864	315766	-	CDS_NC_000962.3_314864_315766
Rv0264c	Rv0264c	Conserved hypothetical protein	CDS	315783	316415	-	CDS_NC_000962.3_315783_316415
Rv0268c	Rv0268c	Hypothetical protein	CDS	322764	323273	-	CDS_NC_000962.3_322764_323273
Rv0288	esxH	Low molecular weight protein antigen 7 EsxH (10 kDa antigen) (CFP-7) (protein TB10.4)	CDS	351848	352138	+	CDS_NC_000962.3_351848_352138
Rv1735c	Rv1735c	Hypothetical membrane protein	CDS	1961291	1961788	-	CDS_NC_000962.3_1961291_1961788
Rv0266c	oplA	Probable 5-oxoprolinase OplA (5-oxo-L-prolinase) (pyroglutamase) (5-OPASE)	CDS	317525	321154	-	CDS_NC_000962.3_317525_321154
Rv0269c	Rv0269c	Conserved hypothetical protein	CDS	323338	324531	-	CDS_NC_000962.3_323338_324531
Rv0270	fadD2	Probable fatty-acid-CoA ligase FadD2 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CDS	324567	326249	+	CDS_NC_000962.3_324567_326249
Rv0271c	fadE6	Probable acyl-CoA dehydrogenase FadE6	CDS	326266	328461	-	CDS_NC_000962.3_326266_328461
Rv0311	Rv0311	Unknown protein	CDS	379172	380401	+	CDS_NC_000962.3_379172_380401
Rv0325	Rv0325	Hypothetical protein	CDS	392039	392263	+	CDS_NC_000962.3_392039_392263
