Transcription-Units	Transcription units - binding sites	Transcription units - promoter of operon	Sequence - coordinates of DNA region	Genes of transcription unit	Ontology -  all instances of class	Ontology - all ancestors of entity	Ontology - all subclasses of class	Regulation - regulator proteins of transcription unit	Transcription units - regulators of operon	Names	Object ID	Direction	Left-End-Position	Citations	Data-Source
TU185E-6013			[TU185E-6013 1,856,774 &rarr; 1,858,537]	G185E-5838 // G185E-5837		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6013	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5417			[TU185E-5417 586,394 &rarr; 590,970]	G185E-4630 // G185E-4629 // G185E-4628 // G185E-4627 // G185E-4626		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5417	+		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6381			[TU185E-6381 2,617,667 &larr; 2,618,908]	G185E-6565		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6381	-		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5785			[TU185E-5785 1,300,304 &rarr; 1,301,215]	G185E-5339		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5785	+		:EV-COMP-AINF:3743282503:fulcher	
TU185E-6746			[TU185E-6746 3,415,435 &larr; 3,415,989]	G185E-7315		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6746	-		:EV-COMP-AINF:3743282550:fulcher	
TU185E-7114			[TU185E-7114 4,211,080 &larr; 4,211,784]	G185E-8056		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7114	-		:EV-COMP-AINF:3743282568:fulcher	
TU185E-5997			[TU185E-5997 1,816,189 &rarr; 1,818,517]	G185E-5806 // G185E-5805		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5997	+		:EV-COMP-AINF:3743282514:fulcher	
TU185E-5401			[TU185E-5401 563,564 &rarr; 564,934]	G185E-4601		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5401	+		:EV-COMP-AINF:3743282486:fulcher	
TU185E-6365			[TU185E-6365 2,583,884 &rarr; 2,584,408]	G185E-6535		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6365	+		:EV-COMP-AINF:3743282532:fulcher	
TU185E-5769			[TU185E-5769 1,264,314 &rarr; 1,264,556]	G185E-5302		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5769	+		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6730			[TU185E-6730 3,381,375 &larr; 3,382,622]	G185E-7283		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6730	-		:EV-COMP-AINF:3743282549:fulcher	
TU185E-7098			[TU185E-7098 4,186,634 &rarr; 4,189,288]	G185E-8027 // G185E-8026		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7098	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5981			[TU185E-5981 1,779,930 &rarr; 1,780,699]	G185E-5763 // G185E-5762		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5981	+		:EV-COMP-AINF:3743282513:fulcher	
TU185E-5385			[TU185E-5385 543,174 &rarr; 544,730]	G185E-4578		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5385	+		:EV-COMP-AINF:3743282485:fulcher	
TU185E-6349			[TU185E-6349 2,567,504 &rarr; 2,568,890]	G185E-6515 // G185E-6514		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6349	+		:EV-COMP-AINF:3743282531:fulcher	
TU185E-5753			[TU185E-5753 1,229,391 &larr; 1,230,548]	G185E-5266		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5753	-		:EV-COMP-AINF:3743282502:fulcher	
TU185E-6714			[TU185E-6714 3,343,176 &larr; 3,343,820]	G185E-7241		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6714	-		:EV-COMP-AINF:3743282548:fulcher	
TU185E-7082			[TU185E-7082 4,162,306 &rarr; 4,164,998]	G185E-8007 // G185E-8006		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7082	+		:EV-COMP-AINF:3743282567:fulcher	
TU185E-5247			[TU185E-5247 193,626 &rarr; 194,111]	G185E-4282		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5247	+		:EV-COMP-AINF:3743282478:fulcher	
TU185E-5369			[TU185E-5369 506,561 &larr; 506,971]	G185E-4545		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5369	-		:EV-COMP-AINF:3743282484:fulcher	
TU185E-7714			[TU185E-7714 119,915 &larr; 122,173]	G185E-4220		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7714	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282597:fulcher	
TU185E-6333			[TU185E-6333 2,541,644 &larr; 2,544,621]	G185E-6486 // G185E-6485 // G185E-6484		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6333	-		:EV-COMP-AINF:3743282530:fulcher	
TU185E-5737			[TU185E-5737 1,205,984 &larr; 1,206,418]	G185E-5243		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5737	-		:EV-COMP-AINF:3743282501:fulcher	
TU185E-6698			[TU185E-6698 3,310,714 &larr; 3,312,838]	G185E-7213 // G185E-7212		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6698	-		:EV-COMP-AINF:3743282547:fulcher	
TU185E-7066			[TU185E-7066 4,129,893 &larr; 4,130,357]	G185E-7973		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7066	-		:EV-COMP-AINF:3743282566:fulcher	
TU185E-5231			[TU185E-5231 160,869 &rarr; 161,474]	G185E-4250		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5231	+		:EV-COMP-AINF:3743282478:fulcher	
TU185E-5353			[TU185E-5353 462,135 &rarr; 463,307]	G185E-4509		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5353	+		:EV-COMP-AINF:3743282483:fulcher	
TU185E-7698			[TU185E-7698 186,495 &larr; 186,623]	G185E-4275		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7698	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282596:fulcher	
TU185E-6317			[TU185E-6317 2,512,539 &rarr; 2,515,244]	G185E-6456		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6317	+		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5721			[TU185E-5721 1,182,391 &rarr; 1,183,455]	G185E-5221		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5721	+		:EV-COMP-AINF:3743282500:fulcher	
TU185E-6685			[TU185E-6685 3,239,829 &larr; 3,241,171]	G185E-7179 // G185E-7178		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6685	-		:EV-COMP-AINF:3743282547:fulcher	
TU185E-7050			[TU185E-7050 4,099,647 &rarr; 4,100,510]	G185E-7943		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7050	+		:EV-COMP-AINF:3743282565:fulcher	
TU185E-5215			[TU185E-5215 125,643 &larr; 130,541]	G185E-4224		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5215	-		:EV-COMP-AINF:3743282477:fulcher	
TU185E-5337			[TU185E-5337 424,777 &larr; 434,679]	G185E-4479		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5337	-		:EV-COMP-AINF:3743282482:fulcher	
TU185E-7682			[TU185E-7682 268,663 &rarr; 269,817]	G185E-4345		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7682	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6301			[TU185E-6301 2,474,864 &larr; 2,475,970]	G185E-6420		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6301	-		:EV-COMP-AINF:3743282529:fulcher	
TU185E-5705			[TU185E-5705 1,159,375 &larr; 1,160,433]	G185E-5196 // G185E-5195		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5705	-		:EV-COMP-AINF:3743282500:fulcher	
TU185E-6669			[TU185E-6669 3,203,394 &larr; 3,204,290]	G185E-7146		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6669	-		:EV-COMP-AINF:3743282546:fulcher	
TU185E-7034			[TU185E-7034 4,077,884 &larr; 4,078,450]	G185E-7918		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7034	-		:EV-COMP-AINF:3743282564:fulcher	
TU185E-5199			[TU185E-5199 80,624 &rarr; 82,668]	G185E-4188 // G185E-4187		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5199	+		:EV-COMP-AINF:3743282476:fulcher	
TU185E-7402			[TU185E-7402 2,558,877 &larr; 2,559,569]	G185E-6504		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7402	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282582:fulcher	
TU185E-5321			[TU185E-5321 385,173 &larr; 385,943]	G185E-4440		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5321	-		:EV-COMP-AINF:3743282482:fulcher	
TU185E-7666			[TU185E-7666 392,696 &larr; 394,045]	G185E-4451		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7666	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282595:fulcher	
TU185E-6285			[TU185E-6285 2,441,811 &larr; 2,443,214]	G185E-6390 // G185E-6389		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6285	-		:EV-COMP-AINF:3743282528:fulcher	
TU185E-5689			[TU185E-5689 1,127,089 &rarr; 1,127,883]	G185E-5166		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5689	+		:EV-COMP-AINF:3743282499:fulcher	
TU185E-6653			[TU185E-6653 3,173,160 &larr; 3,174,017]	G185E-7112		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6653	-		:EV-COMP-AINF:3743282545:fulcher	
TU185E-7018			[TU185E-7018 4,047,705 &larr; 4,052,883]	G185E-7889 // G185E-7888 // G185E-7887 // G185E-7886 // G185E-7885 // G185E-7884		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7018	-		:EV-COMP-AINF:3743282564:fulcher	
TU185E-5183			[TU185E-5183 51,185 &larr; 51,727]	G185E-4161		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5183	-		:EV-COMP-AINF:3743282475:fulcher	
TU185E-7386			[TU185E-7386 2,710,075 &rarr; 2,710,335]	G185E-6642		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7386	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282581:fulcher	
TU185E-5305			[TU185E-5305 351,525 &rarr; 353,036]	G185E-4412 // G185E-4411 // G185E-4410		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5305	+		:EV-COMP-AINF:3743282481:fulcher	
TU185E-7650			[TU185E-7650 500,350 &larr; 501,018]	G185E-4539		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7650	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282594:fulcher	
TU185E-6269			[TU185E-6269 2,405,666 &larr; 2,405,956]	G185E-6354		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6269	-		:EV-COMP-AINF:3743282527:fulcher	
TU185E-5673			[TU185E-5673 1,094,670 &larr; 1,094,864]	G185E-5135		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5673	-		:EV-COMP-AINF:3743282498:fulcher	
TU185E-6637			[TU185E-6637 3,126,240 &larr; 3,132,714]	G185E-7074 // G185E-7073 // G185E-7072 // G185E-7071 // G185E-7070 // G185E-7069		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6637	-		:EV-COMP-AINF:3743282544:fulcher	
TU185E-7002			[TU185E-7002 4,021,425 &larr; 4,023,803]	G185E-7858 // G185E-7857		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7002	-		:EV-COMP-AINF:3743282563:fulcher	
TU185E-5167			[TU185E-5167 25,913 &larr; 26,881]	G185E-4135		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5167	-		:EV-COMP-AINF:3743282475:fulcher	
TU185E-7370			[TU185E-7370 2,878,571 &larr; 2,879,929]	G185E-6799		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7370	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282580:fulcher	
TU185E-5289			[TU185E-5289 301,735 &larr; 302,028]	G185E-4372		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5289	-		:EV-COMP-AINF:3743282480:fulcher	
TU185E-7634			[TU185E-7634 681,885 &larr; 684,272]	G185E-4719		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7634	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282593:fulcher	
TU185E-6253			[TU185E-6253 2,376,571 &rarr; 2,377,441]	G185E-6323 // G185E-6322		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6253	+		:EV-COMP-AINF:3743282526:fulcher	
TU185E-5657			[TU185E-5657 1,057,646 &larr; 1,057,963]	G185E-5103		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5657	-		:EV-COMP-AINF:3743282497:fulcher	
TU185E-6621			[TU185E-6621 3,095,111 &rarr; 3,096,874]	G185E-7036		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6621	+		:EV-COMP-AINF:3743282544:fulcher	
TU185E-6986			[TU185E-6986 3,979,499 &larr; 3,985,445]	G185E-7822 // G185E-7821 // G185E-7820 // G185E-7819 // G185E-7818 // G185E-7817		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6986	-		:EV-COMP-AINF:3743282562:fulcher	
TU185E-7354			[TU185E-7354 3,014,663 &larr; 3,014,965]	G185E-6947		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7354	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282579:fulcher	
TU185E-5273			[TU185E-5273 267,863 &larr; 268,627]	G185E-4344		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5273	-		:EV-COMP-AINF:3743282479:fulcher	
TU185E-7618			[TU185E-7618 881,075 &larr; 881,464]	G185E-4934		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7618	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282593:fulcher	
TU185E-6237			[TU185E-6237 2,344,411 &rarr; 2,346,180]	G185E-6294		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6237	+		:EV-COMP-AINF:3743282525:fulcher	
TU185E-7615			[TU185E-7615 894,972 &larr; 895,628]	G185E-4951		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7615	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282592:fulcher	
TU185E-6234			[TU185E-6234 2,343,027 &rarr; 2,343,332]	G185E-6291		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6234	+		:EV-COMP-AINF:3743282525:fulcher	
TU185E-5638			[TU185E-5638 1,017,217 &larr; 1,019,965]	G185E-5068 // G185E-5067		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5638	-		:EV-COMP-AINF:3743282497:fulcher	
TU185E-6602			[TU185E-6602 3,064,515 &larr; 3,067,124]	G185E-7002 // G185E-7001		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6602	-		:EV-COMP-AINF:3743282543:fulcher	
TU185E-6967			[TU185E-6967 3,909,890 &rarr; 3,910,468]	G185E-7768		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6967	+		:EV-COMP-AINF:3743282561:fulcher	
TU185E-7335			[TU185E-7335 3,193,393 &rarr; 3,194,151]	G185E-7136		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7335	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282579:fulcher	
TU185E-5254			[TU185E-5254 216,269 &rarr; 218,344]	G185E-4304		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5254	+		:EV-COMP-AINF:3743282479:fulcher	
TU185E-7599			[TU185E-7599 967,898 &rarr; 968,305]	G185E-5025		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7599	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282592:fulcher	
TU185E-6218			[TU185E-6218 2,291,962 &larr; 2,306,986]	G185E-6251 // G185E-6250		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6218	-		:EV-COMP-AINF:3743282524:fulcher	
TU185E-5622			[TU185E-5622 981,424 &larr; 982,554]	G185E-5038		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5622	-		:EV-COMP-AINF:3743282496:fulcher	
TU185E-6586			[TU185E-6586 3,031,040 &larr; 3,031,537]	G185E-6967		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6586	-		:EV-COMP-AINF:3743282542:fulcher	
TU185E-6951			[TU185E-6951 3,880,286 &larr; 3,880,653]	G185E-7739 // G185E-7738		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6951	-		:EV-COMP-AINF:3743282560:fulcher	
TU185E-7319			[TU185E-7319 3,357,225 &larr; 3,357,428]	G185E-7256		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7319	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282578:fulcher	
TU185E-7583			[TU185E-7583 1,095,078 &larr; 1,096,451]	G185E-5137		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7583	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282591:fulcher	
TU185E-6202			[TU185E-6202 2,256,084 &larr; 2,256,428]	G185E-6209		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6202	-		:EV-COMP-AINF:3743282524:fulcher	
TU185E-5606			[TU185E-5606 944,343 &rarr; 944,735]	G185E-5001		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5606	+		:EV-COMP-AINF:3743282495:fulcher	
TU185E-6570			[TU185E-6570 3,009,344 &rarr; 3,010,686]	G185E-6940 // G185E-6939		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6570	+		:EV-COMP-AINF:3743282541:fulcher	
TU185E-6935			[TU185E-6935 3,850,372 &larr; 3,854,793]	G185E-7712 // G185E-7711 // G185E-7710 // G185E-7709		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6935	-		:EV-COMP-AINF:3743282560:fulcher	
TU185E-7303			[TU185E-7303 3,467,606 &rarr; 3,467,926]	G185E-7361		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7303	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282577:fulcher	
TU185E-7567			[TU185E-7567 1,237,209 &larr; 1,238,192]	G185E-5276		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7567	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282590:fulcher	
TU185E-6186			[TU185E-6186 2,231,026 &rarr; 2,231,454]	G185E-6187		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6186	+		:EV-COMP-AINF:3743282523:fulcher	
TU185E-5590			[TU185E-5590 916,477 &larr; 917,646]	G185E-4972		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5590	-		:EV-COMP-AINF:3743282494:fulcher	
TU185E-6554			[TU185E-6554 2,981,482 &rarr; 2,981,754]	G185E-6910		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6554	+		:EV-COMP-AINF:3743282540:fulcher	
TU185E-5957			[TU185E-5957 1,720,017 &rarr; 1,720,802]	G185E-5713		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5957	+		:EV-COMP-AINF:3743282512:fulcher	
TU185E-6919			[TU185E-6919 3,822,262 &larr; 3,824,584]	G185E-7681 // G185E-7680		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6919	-		:EV-COMP-AINF:3743282559:fulcher	
TU185E-7287			[TU185E-7287 3,566,696 &larr; 3,566,896]	G185E-7464		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7287	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282576:fulcher	
TU185E-7551			[TU185E-7551 1,301,755 &larr; 1,302,681]	G185E-5341		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7551	-		:EV-COMP-AINF-SINGLE-DIRECTON:3743282589:fulcher	
TU185E-6170			[TU185E-6170 2,201,277 &rarr; 2,201,579]	G185E-6152		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6170	+		:EV-COMP-AINF:3743282522:fulcher	
TU185E-5574			[TU185E-5574 890,388 &rarr; 891,482]	G185E-4946		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5574	+		:EV-COMP-AINF:3743282493:fulcher	
TU185E-6538			[TU185E-6538 2,963,586 &rarr; 2,964,242]	G185E-6881		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6538	+		:EV-COMP-AINF:3743282540:fulcher	
TU185E-5941			[TU185E-5941 1,689,303 &larr; 1,689,920]	G185E-5683		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-5941	-		:EV-COMP-AINF:3743282511:fulcher	
TU185E-6903			[TU185E-6903 3,786,314 &rarr; 3,787,489]	G185E-7648		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6903	+		:EV-COMP-AINF:3743282558:fulcher	
TU185E-7271			[TU185E-7271 3,691,141 &rarr; 3,691,620]	G185E-7578		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7271	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282575:fulcher	
TU185E-7535			[TU185E-7535 1,413,260 &rarr; 1,413,940]	G185E-5437		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-7535	+		:EV-COMP-AINF-SINGLE-DIRECTON:3743282588:fulcher	
TU185E-6154			[TU185E-6154 2,153,235 &larr; 2,156,592]	G185E-6106 // G185E-6105 // G185E-6104		Polymer-Segments // DNA-Segments // Transcription-Units					TU185E-6154	-		:EV-COMP-AINF:3743282521:fulcher	
